stop_id,stop_name,stop_lat,stop_lon,stop_url,location_type,wheelchair_boarding,parent_station
"8100","1","-35.1856039","149.1354874","https://cmet.com.au/light-rail-stops/gungahlin-place/","0","0","GGN"
"8101","1","-35.1856732","149.1354648","https://cmet.com.au/light-rail-stops/gungahlin-place/","0","0","GGN"
"GGN","1","-35.185639","149.135481","https://cmet.com.au/light-rail-stops/gungahlin-place/","1","0",""
"8104","2","-35.1869608","149.1434222","https://cmet.com.au/light-rail-stops/manning-clark-north/","0","0","MCK"
"8105","2","-35.1870359","149.1434058","https://cmet.com.au/light-rail-stops/manning-clark-north/","0","0","MCK"
"MCK","2","-35.186986","149.143372","https://cmet.com.au/light-rail-stops/manning-clark-north/","1","0",""
"8106","3","-35.1934347","149.1510139","https://cmet.com.au/light-rail-stops/mapleton-avenue/","0","0","MPN"
"8107","3","-35.1934216","149.1509264","https://cmet.com.au/light-rail-stops/mapleton-avenue/","0","0","MPN"
"MPN","3","-35.193381","149.150972","https://cmet.com.au/light-rail-stops/mapleton-avenue/","1","0",""
"8108","4","-35.2003844","149.1493763","https://cmet.com.au/light-rail-stops/nullarbor-avenue/","0","0","NLR"
"8109","4","-35.2003745","149.1492863","https://cmet.com.au/light-rail-stops/nullarbor-avenue/","0","0","NLR"
"NLR","4","-35.20055","149.149294","https://cmet.com.au/light-rail-stops/nullarbor-avenue/","1","0",""
"8110","5","-35.2090507","149.1474047","https://cmet.com.au/light-rail-stops/well-station-drive/","0","0","WSN"
"8111","5","-35.2090473","149.1473109","https://cmet.com.au/light-rail-stops/well-station-drive/","0","0","WSN"
"WSN","5","-35.20905","149.14735","https://cmet.com.au/light-rail-stops/well-station-drive/","1","0",""
"8114","6","-35.2284977","149.1442434","https://cmet.com.au/light-rail-stops/epic-racecourse/","0","0","EPC"
"8115","6","-35.2285009","149.14422","https://cmet.com.au/light-rail-stops/epic-racecourse/","0","0","EPC"
"EPC","6","-35.2285","149.14422","https://cmet.com.au/light-rail-stops/epic-racecourse/","1","0",""
"8116","7","-35.2358454","149.1439324","https://cmet.com.au/light-rail-stops/phillip-avenue/","0","0","PLP"
"8117","7","-35.2357995","149.1438889","https://cmet.com.au/light-rail-stops/phillip-avenue/","0","0","PLP"
"PLP","7","-35.235794","149.143928","https://cmet.com.au/light-rail-stops/phillip-avenue/","1","0",""
"8118","8","-35.2444678","149.1346206","https://cmet.com.au/light-rail-stops/swinden-street/","0","0","SWN"
"8119","8","-35.244464","149.134502","https://cmet.com.au/light-rail-stops/swinden-street/","0","0","SWN"
"SWN","8","-35.24447","149.13462","https://cmet.com.au/light-rail-stops/swinden-street/","1","0",""
"8120","9","-35.2505589","149.1337551","https://cmet.com.au/light-rail-stops/dickson-interchange/","0","0","DKN"
"8121","9","-35.2505578","149.133725","https://cmet.com.au/light-rail-stops/dickson-interchange/","0","0","DKN"
"DKN","9","-35.250558","149.133739","https://cmet.com.au/light-rail-stops/dickson-interchange/","1","0",""
"8122","10","-35.2601592","149.1321975","https://cmet.com.au/light-rail-stops/macarthur-avenue/","0","0","MCR"
"8123","10","-35.2601563","149.1321636","https://cmet.com.au/light-rail-stops/macarthur-avenue/","0","0","MCR"
"MCR","10","-35.260158","149.132228","https://cmet.com.au/light-rail-stops/macarthur-avenue/","1","0",""
"8124","11","-35.2658969","149.131272","https://cmet.com.au/light-rail-stops/ipima-street/","0","0","IPA"
"8125","11","-35.2658947","149.1312436","https://cmet.com.au/light-rail-stops/ipima-street/","0","0","IPA"
"IPA","11","-35.265897","149.131283","https://cmet.com.au/light-rail-stops/ipima-street/","1","0",""
"8126","12","-35.272618","149.1301981","https://cmet.com.au/light-rail-stops/elouera-street/","0","0","ELA"
"8127","12","-35.2726172","149.1301599","https://cmet.com.au/light-rail-stops/elouera-street/","0","0","ELA"
"ELA","12","-35.272617","149.130172","https://cmet.com.au/light-rail-stops/elouera-street/","1","0",""
"8128","13","-35.2779344","149.129346","https://cmet.com.au/light-rail-stops/alinga-street-city/","0","0","ALG"
"8129","13","-35.2779315","149.1293069","https://cmet.com.au/light-rail-stops/alinga-street-city/","0","0","ALG"
"ALG","13","-35.277933","149.129331","https://cmet.com.au/light-rail-stops/alinga-street-city/","1","0",""
